,batch_size,conv,dense,drop,epochs,learning_rate,run_id,runtime_hours,training_loss,validation_loss
131,16,"[25, 25, 25, 25, 25, 1]","[1000, 500, 100, 50]",0.1,4,0.02,4131,0.0180769519444,0.687278703281,0.685457835879
132,16,"[64, 32, 16, 32, 64, 1]","[1000, 500, 100, 50]",0.1,4,0.02,4132,0.0881942544444,0.686647581203,0.682723655019
133,16,"[100, 100, 100, 100, 100, 1]","[1000, 500, 100, 50]",0.1,4,0.02,4133,0.0604672527778,0.68141810298,0.675910437107
134,16,"[32, 20, 16, 32, 10, 1]","[1000, 500, 100, 50]",0.1,4,0.02,4134,0.0190990180556,0.690988311597,0.691392908778
135,16,"[50, 50, 50, 50, 50, 1]","[1000, 500, 100, 50]",0.1,4,0.05,4135,0.0283904005556,0.686730072328,0.676570716926
136,16,"[25, 25, 25, 25, 25, 1]","[1000, 500, 100, 50]",0.1,4,0.05,4136,0.0177056975,0.690796569416,0.68752877542
137,16,"[64, 32, 16, 32, 64, 1]","[1000, 500, 100, 50]",0.1,4,0.05,4137,0.108170658611,0.69032808968,0.692585977486
138,16,"[100, 100, 100, 100, 100, 1]","[1000, 500, 100, 50]",0.1,4,0.05,4138,0.0606239369444,0.647580886739,0.596514952183
139,16,"[32, 20, 16, 32, 10, 1]","[1000, 500, 100, 50]",0.1,4,0.05,4139,0.0194602080556,0.689642713751,0.694227240767
140,16,"[50, 50, 50, 50, 50, 1]","[1000, 500, 100, 50]",0.2,4,0.005,4140,0.0286140266667,0.691509404353,0.691137313843
141,16,"[25, 25, 25, 25, 25, 1]","[1000, 500, 100, 50]",0.2,4,0.005,4141,0.0191751325,0.692402005196,0.691563221387
142,16,"[64, 32, 16, 32, 64, 1]","[1000, 500, 100, 50]",0.2,4,0.005,4142,0.0866464772222,0.691466079439,0.691542584555
143,16,"[100, 100, 100, 100, 100, 1]","[1000, 500, 100, 50]",0.2,4,0.005,4143,0.0592911219444,0.689921468496,0.68863563197
144,16,"[32, 20, 16, 32, 10, 1]","[1000, 500, 100, 50]",0.2,4,0.005,4144,0.0191964277778,0.692353083406,0.691725982938
145,16,"[50, 50, 50, 50, 50, 1]","[1000, 500, 100, 50]",0.2,4,0.01,4145,0.0284724961111,0.692062808786,0.690625132833
146,16,"[25, 25, 25, 25, 25, 1]","[1000, 500, 100, 50]",0.2,4,0.01,4146,0.0178782388889,0.690266097443,0.689404177666
147,16,"[64, 32, 16, 32, 64, 1]","[1000, 500, 100, 50]",0.2,4,0.01,4147,0.0864439644444,0.689762369224,0.687165943214
148,16,"[100, 100, 100, 100, 100, 1]","[1000, 500, 100, 50]",0.2,4,0.01,4148,0.0603094336111,0.688679707902,0.686182236671
149,16,"[32, 20, 16, 32, 10, 1]","[1000, 500, 100, 50]",0.2,4,0.01,4149,0.0190858102778,0.692085348708,0.691423865727
150,16,"[50, 50, 50, 50, 50, 1]","[1000, 500, 100, 50]",0.2,4,0.02,4150,0.0286604005556,0.691210321018,0.689059802464
151,16,"[25, 25, 25, 25, 25, 1]","[1000, 500, 100, 50]",0.2,4,0.02,4151,0.0179652894444,0.692315362181,0.693218006407
152,16,"[64, 32, 16, 32, 64, 1]","[1000, 500, 100, 50]",0.2,4,0.02,4152,0.0868987380556,0.691371259519,0.688229921886
153,16,"[100, 100, 100, 100, 100, 1]","[1000, 500, 100, 50]",0.2,4,0.02,4153,0.0627579647222,0.686030164787,0.680424795832
154,16,"[32, 20, 16, 32, 10, 1]","[1000, 500, 100, 50]",0.2,4,0.02,4154,0.0193513508333,0.691030624935,0.692200958729
155,16,"[50, 50, 50, 50, 50, 1]","[1000, 500, 100, 50]",0.2,4,0.05,4155,0.0287492508333,0.692808310475,0.692944792339
156,16,"[25, 25, 25, 25, 25, 1]","[1000, 500, 100, 50]",0.2,4,0.05,4156,0.0181865958333,0.693970871823,0.691231974534
157,16,"[64, 32, 16, 32, 64, 1]","[1000, 500, 100, 50]",0.2,4,0.05,4157,0.0886721583333,0.690352874143,0.6835501194
158,16,"[100, 100, 100, 100, 100, 1]","[1000, 500, 100, 50]",0.2,4,0.05,4158,0.0657767105556,0.678337579966,0.649322242396
159,16,"[32, 20, 16, 32, 10, 1]","[1000, 500, 100, 50]",0.2,4,0.05,4159,0.0193695325,0.694072714022,0.693391415051
160,16,"[50, 50, 50, 50, 50, 1]","[1000, 500, 100, 50]",0.3,4,0.005,4160,0.0720153575,0.692045714174,0.691749661309
161,16,"[25, 25, 25, 25, 25, 1]","[1000, 500, 100, 50]",0.3,4,0.005,4161,0.0182696097222,0.692553916999,0.692412868568
162,16,"[64, 32, 16, 32, 64, 1]","[1000, 500, 100, 50]",0.3,4,0.005,4162,0.0920266069444,0.692850938014,0.692086555277
163,16,"[100, 100, 100, 100, 100, 1]","[1000, 500, 100, 50]",0.3,4,0.005,4163,0.0642343744444,0.692300012282,0.691646506105
164,16,"[32, 20, 16, 32, 10, 1]","[1000, 500, 100, 50]",0.3,4,0.005,4164,0.0199092952778,0.693117101703,0.692840872492
165,16,"[50, 50, 50, 50, 50, 1]","[1000, 500, 100, 50]",0.3,4,0.01,4165,0.030707135,0.692883749519,0.692148038319
166,16,"[25, 25, 25, 25, 25, 1]","[1000, 500, 100, 50]",0.3,4,0.01,4166,0.0182868016667,0.692589283841,0.692488581794
167,16,"[64, 32, 16, 32, 64, 1]","[1000, 500, 100, 50]",0.3,4,0.01,4167,0.0999032863889,0.692093441316,0.690856095723
